src_id,dst_id,edge_type,active,weight
P0,B1,and_produce,1,1.0
P0,B2,and_produce,1,1.0
A1,B3,or_choice,1,0.5
A1,B4,or_choice,1,0.5
A2,B5,or_choice,1,0.5
A2,B6,or_choice,1,0.5
A3,B7,or_choice,1,0.5
A3,B8,or_choice,1,0.5
B1,B2,precede,1,1.0
B2,B3,precede,1,1.0
B2,B4,precede,1,1.0
B2,B5,precede,1,1.0
B2,B6,precede,1,1.0
B1,B5,precede,1,1.0
B1,B6,precede,1,1.0
B2,B7,precede,1,1.0
B2,B8,precede,1,1.0
B1,r1,capable_of,1,1.0
B1,r2,capable_of,1,1.0
B1,r3,capable_of,1,1.0
B1,r4,capable_of,1,1.0
B2,r1,capable_of,1,1.0
B2,r2,capable_of,1,1.0
B2,r3,capable_of,1,1.0
B2,r4,capable_of,1,1.0
B3,r1,capable_of,1,1.0
B3,r2,capable_of,1,1.0
B3,r3,capable_of,1,1.0
B3,r4,capable_of,1,1.0
B4,r1,capable_of,1,1.0
B4,r2,capable_of,1,1.0
B4,r3,capable_of,1,1.0
B4,r4,capable_of,1,1.0
B5,r1,capable_of,1,1.0
B5,r2,capable_of,1,1.0
B5,r3,capable_of,1,1.0
B5,r4,capable_of,1,1.0
B6,r1,capable_of,1,1.0
B6,r2,capable_of,1,1.0
B6,r3,capable_of,1,1.0
B6,r4,capable_of,1,1.0
B7,r1,capable_of,1,1.0
B7,r2,capable_of,1,1.0
B7,r3,capable_of,1,1.0
B7,r4,capable_of,1,1.0
B8,r1,capable_of,1,1.0
B8,r2,capable_of,1,1.0
B8,r3,capable_of,1,1.0
B8,r4,capable_of,1,1.0
r1,s1,assigned_to,1,1.0
r2,s2,assigned_to,1,1.0
r3,s3,assigned_to,1,1.0
r4,s1,assigned_to,1,1.0
B1,s1,located_in,1,1.0
B2,s2,located_in,1,1.0
B3,s3,located_in,1,1.0
B4,s1,located_in,1,1.0
B5,s2,located_in,1,1.0
B6,s3,located_in,1,1.0
B7,s1,located_in,1,1.0
B8,s2,located_in,1,1.0
